District,pH,N,P,K,OC,Fe
Akola,7.841471764331911,281.0223380714434,22.881925140371496,565.6038056167879,0.4926599948046626,3.9899272758759734
Amravati,7.630430933057536,260.81541512039513,25.898278625465075,602.5506701379176,0.45686857080553184,3.1706873977810752
Aurangabad,8.004047184766012,231.71842826567837,13.52086518950647,521.6533060483812,0.4166556914669389,2.928665721718985
Beed,7.679488710204185,155.2075930938318,31.756123846382117,592.8586943022439,0.5222350715666692,3.679993694124146
Bhandara,7.028646943233832,353.0065171885959,32.01901219904152,457.09194760395803,0.5090593075334732,6.728297214725429
Buldhana,7.728456709145017,298.26807619070644,15.90463293067789,475.04732988175374,0.5274440996472329,4.2307376283062
Chandrapur,7.228556501235597,292.59120895763294,37.798067584160705,505.54562783726203,0.4758592548395316,7.6103095621180765
Dhule,7.854323259429321,220.3924606778603,20.470139816759968,484.5490991832344,0.49653029767491913,4.8659182869432716
Gadchiroli,6.943874315618767,297.2148280844644,36.08298342242359,362.0574072310183,0.476337919376361,8.02325970143871
Gondia,7.17714219645867,297.3007782382629,42.072413839091666,423.28454491662177,0.4921942729209629,7.871906264815844
Hingoli,7.757604398343066,297.1361170326247,11.54283825957541,477.18162011342696,0.47520968841932953,5.081641249704176
Jalgaon,7.8678944645016635,245.37859783987264,28.07470234440918,547.3581717397587,0.48100153912694116,5.075911479891489
Jalna,7.939598719279829,175.8496552572194,13.748444859328819,519.9577537830406,1.6606336307575444,3.848196228884474
Kolhapur,6.473998217161298,346.5140856617624,51.72229849522153,334.33119736173427,0.8972449184449914,18.919746733838437
Latur,7.68720379657673,248.11486786170673,10.110535175509382,499.67401330396183,0.5538568490125344,2.80144436010702
Nagpur,7.699231719857859,412.8541312937073,63.783946093587126,504.3507653096726,0.6015400069276408,1.9136217065914247
Nanded,7.508801989302189,294.09366869855637,22.5672485235636,428.03464557619674,0.5560861120754691,5.129276695282892
Nandurbar,7.557732975578043,175.45277429730257,20.290528209970024,420.33207517999955,0.43536467736342876,8.99897675231491
Nashik,7.426791135866537,244.98131799481547,28.93770746783059,398.3059599746674,0.8620975068465228,5.98027894592925
Osmanabad,7.599702301438096,377.54053652608917,12.906269072574556,303.51223814611143,0.5688915865498835,3.4687993323900628
Parbhani,7.823979517909071,231.1682855396941,14.665892812154711,505.62605152199393,0.475367662601586,3.6390685331763324
Pune,7.349062698031778,354.2410218062577,14.074507461926387,423.7058289174337,0.6468203075060449,7.951104384836828
Raigad,6.134085986029026,493.2647116183921,22.54321821923648,369.96285573077216,0.7399532307719445,11.720684873556921
Ratnagiri,6.209762722704151,326.26108204210726,10.467186868617047,414.0301750525335,1.4241480791187133,20.358334874616943
Sangli,7.809234995011905,214.57824192184947,29.218343119522128,338.57766182200714,0.5991089477914345,5.29346697247527
Satara,7.4840538571903705,272.10844606080207,43.110171738157874,395.94075041868075,0.5834161502680618,4.635895695071372
Sindhudurg,5.736800764699777,293.90548019793715,32.85878332878283,287.4296709188629,1.4839063037755396,39.75968563371684
Solapur,7.744995016570722,249.38211335041686,18.432202056667997,395.47402194009277,0.4799345534893498,2.607501333250331
Thane,6.774832160838024,752.8431417832205,33.60712298605781,575.7310304030082,1.5600241052173134,21.383073857425956
Wardha,7.683549815232629,343.4226102041797,29.58275134182082,564.5695439467925,0.5118370962744409,2.0424144741785484
Washim,7.649578310132378,289.33854234703597,11.564354980593995,397.25394738635845,0.4490709904594571,2.2892683153472353
Yavatmal,7.730295923327234,262.37742734541604,22.63397737936499,390.68714179365264,0.42627869747865665,4.308129968230271
