District, Latitude, Longitude
Akola, 20.7002159, 77.0081678
Amravati, 20.9374238, 77.7795513
Aurangabad, 19.8761653, 75.3433139
Beed, 18.9892101, 75.75634
Bhandara, 21.1750113, 79.6558242
Buldhana, 20.4560976, 76.3637285
Chandrapur, 19.9704597, 79.3014845
Dhule, 20.9042201, 74.7748979
Gadchiroli, 19.4968732, 80.2767327
Gondia, 21.4624491, 80.2209773
Hingoli, 19.7173703, 77.1493722
Jalgaon, 21.0076578, 75.5626039
Jalna, 19.8296893, 75.8800305
Kolhapur, 16.7049873, 74.2432527
Latur, 18.4087934, 76.5603828
Nagpur, 21.1458004, 79.0881546
Nanded, 19.1382514, 77.3209555
Nandurbar, 21.3667107, 74.240509
Nashik, 19.9974533, 73.7898023
Osmanabad, 18.2069636, 76.1783739
Parbhani, 19.2609958, 76.776665
Pune, 18.5204303, 73.8567437
Raigad, 18.5157519, 73.1821623
Ratnagiri, 16.9915409, 73.3102188
Sangli, 16.8523973, 74.5814773
Satara, 17.6804639, 74.018261
Sindhudurg, 16.3492193, 73.5594128
Solapur, 17.6599188, 75.9063906
Thane, 19.2183307, 72.9780897
Wardha, 20.745319, 78.6021946
Washim, 20.1119123, 77.1312586
Yavatmal, 20.3887937, 78.1204073
